"Continue","Weiter"
"Connect","Verbinden"
"Disconnect","Abmelden"
"Login","Anmelden"
"Register","Registrieren"
"Unable to retrieve access code","Kein Zugangscode erhalten"
"Required HTTP method is not supported","Die benötigte HTTP Methode wird nicht unterstützt"
"Unspecified OAuth error occurred","Ein nicht spezifizierter OAuth Fehler ist aufgetreten"
"HTTP error %d occurred while issuing request","HTTP Fehler %d ist beim Ausführen der Anfrage aufgetreten"
"No access token available","Kein Access Token verfügbar"
"No refresh token, nothing to revoke","Kein Refresh token verfügbar, nichts zu annulieren"
"No refresh token, unable to refresh access token","Kein Refresh token verfügbar, der Refresh token konnte nicht akutalisiert werden."
"Unable to retrieve request token",Es konnte kein Refresh token empfangen werden"
"Unable to retrieve access token","Es konnte kein Access token empfangen werden"
"Unable to proceed without an access token","Ohne Access token kann nicht fortgefahren werden"
"You have successfully disconnected your Facebook account from our store account.","Sie haben erfolgreich Ihr Facebook Konto aus Ihrem Benutzerkonto entfernt."
"Facebook Connect process aborted.","Facebook Connect Prozess abgebrochen."
"Sorry, "%s" error occured. Please try again.","Entschuldigung, Fehler "%s" ist aufgetreten. Bitte nochmal versuchen."
"Your Facebook account is already connected to one of our store accounts.","Ihr Facebook Konto ist bereits mit einem Online-Shop Konto verbunden."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Ihr Facebook Konto ist nun mir Ihrem Online-Shop Benutzerkonto verbunden. Sie können sich nun mit Ihrem Facebook Konto oder mit den Online-Shop Benutzerkonto-Daten, die Sie per E-Mail erhalten, anmelden."
"You have successfully logged in using your Facebook account.","Sie haben sich erfolgreich mit Ihrem Facebook Konto angemeldet."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Sie haben bereits ein Kundenkonto in unserem Online-Shop. Ihr Facebook Konto ist nun mit Ihrem Online-Shop Benutzerkonto verbunden."
"Sorry, could not retrieve your Facebook first name. Please try again.","Entschuldigung, wir konnten Ihren Facebook Vornamen nicht empfangen. Versuchen Sie es erneut."
"Sorry, could not retrieve your Facebook last name. Please try again.","Entschuldigung, wir konnten Ihren Facebook Nachnamen nicht empfangen. Versuchen Sie es erneut."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Ihr Facebook Konto ist nun mit Ihrem neuen Benutzerkonto verbunden. Sie können sich nun mit dem Facebook Connect Button oder mit den Online-Shop Benutzerkonto-Daten, die Sie per E-Mail erhalten, anmelden."
"You have successfully disconnected your Google account from our store account.","Sie haben erfolgreich Ihr Google Konto aus Ihrem Benutzerkonto entfernt."
"Google Connect process aborted.","Google Connect Prozess abgebrochen."
"Your Google account is already connected to one of our store accounts.","Ihr Google Konto ist bereits mit Ihrem Online-Shop Benutzerkonto verbunden."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Ihr Google Konto ist nun mir Ihrem Online-Shop Benutzerkonto verbunden. Sie können sich nun mit Ihrem Google Konto oder mit den Online-Shop Benutzerkonto-Daten, die Sie per E-Mail erhalten, anmelden."
"You have successfully logged in using your Google account.","Sie haben sich erfolgreich mit Ihrem Google Konto angemeldet."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Sie haben bereits ein Kundenkonto in unserem Online-Shop. Ihr Google Konto ist nun mit Ihrem Online-Shop Benutzerkonto verbunden."
"Sorry, could not retrieve your Google first name. Please try again.","Entschuldigung, wir konnten Ihren Google Konto Vornamen nicht empfangen. Versuchen Sie es erneut."
"Sorry, could not retrieve your Google last name. Please try again.","Entschuldigung, wir konnten Ihren Google Konto Nachnamen nicht empfangen. Versuchen Sie es erneut."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Ihr Google Konto ist nun mit Ihrem neuen Benutzerkonto verbunden. Sie können sich nun mit dem Google Connect Button oder mit den Online-Shop Benutzerkonto-Daten, die Sie per E-Mail erhalten, anmelden."
"You have successfully disconnected your Twitter account from our store account.","Sie haben erfolgreich Ihr Twitter Konto aus Ihrem Benutzerkonto entfernt."
"Twitter Connect process aborted.","Twitter Connect Prozess abgebrochen."
"Your Twitter account is already connected to one of our store accounts.","Ihr Twitter Konto ist bereits mit Ihrem Online-Shop Benutzerkonto verbunden."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Ihr Twitter Konto ist nun mir Ihrem Online-Shop Benutzerkonto verbunden. Sie können sich nun mit Ihrem Twitter Konto oder mit den Online-Shop Benutzerkonto-Daten, die Sie per E-Mail erhalten, anmelden."
"You have successfully logged in using your Twitter account.","Sie haben sich erfolgreich mit Ihrem Twitter Konto angemeldet."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Sie haben bereits ein Kundenkonto in unserem Online-Shop. Ihr Twitter Konto ist nun mit Ihrem Online-Shop Benutzerkonto verbunden."
"Sorry, could not retrieve your Twitter last name. Please try again.","Entschuldigung, wir konnten Ihren Google Konto Nachnamen nicht empfangen. Versuchen Sie es erneut."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Ihr Twitter Konto ist nun mit Ihrem neuen Benutzerkonto verbunden. Sie können sich nun mit dem Twitter Connect Button anmelden."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Da Twitter den Zugriff auf Ihre E-Mail Adresse nicht erlaubt, konnten wir Ihnen keine Benutzerkonto Zugangsdaten zusenden. Um sich mit Benutzerkonto-Daten im Online-Shop anzumelden, vervollständigen Sie bitte Ihre Daten: <a href="%s">Benutzerkonto Informationen bearbeiten</a>."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Benutzerkonto Google Connect"
"Customer My Account Facebook Connect","Benutzerkonto Facebook Connect"
"Customer My Account Twitter Connect","Benutzerkonto Twitter Connect"
"Connected as %s","Verbunden als %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Geschlecht: %s"
"Birthday: %s","Geburtstag: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Sie können Ihr Kundenkonto mit Ihrem Facebook Konto verbinden, um sich in Zukunft leichter anzumelden."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Sie können Ihr Kundenkonto mit Ihrem Google Konto verbinden, um sich in Zukunft leichter anzumelden."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Sie können Ihr Kundenkonto mit Ihrem Twitter Konto verbinden, um sich in Zukunft leichter anzumelden."
"You can continue with checkout using your <strong>Google</strong> account.","Melden Sie sich mit Ihrem <strong>Google</strong> Konto an, um zur Kasse zu gehen."
"You can continue with checkout using your <strong>Facebook</strong> account.","Melden Sie sich mit Ihrem <strong>Facebook</strong> Konto an, um zur Kasse zu gehen."
"You can continue with checkout using your <strong>Twitter</strong> account.","Melden Sie sich mit Ihrem <strong>Twitter</strong> Konto an, um zur Kasse zu gehen."
"You can login using your Google account.","Sie können sich mit Ihrem Google Account einloggen."
"You can login using your Facebook account.","Sie können sich mit Ihrem Facebook Account einloggen."
"You can login using your Twitter account.","Sie können sich mit Ihrem Twitter Account einloggen."
"You can register using your Google account.","Sie können sich mit Ihrem Google Account registrieren."
"You can register using your Facebook account.","Sie können sich mit Ihrem Facebook Account registrieren."
"You can register using your Twitter account.","Sie können sich mit Ihrem Twitter Account registrieren."