"Continue","Continuer"
"Connect","Connecter"
"Disconnect","Déconnecter"
"Login","Identification"
"Register","Inscription"
"Unable to retrieve access code","Impossible de retrouver le code d\'accès"
"Required HTTP method is not supported","La méthode HTTP obligatoire n\'est pas supportée"
"Unspecified OAuth error occurred","Une erreur non spécifiée (OAuth) est survenue"
"HTTP error %d occurred while issuing request","Une erreur HTTP %d est survenue pendant l\'envoi de la demande"
"No access token available","Aucun jeton d\'accès disponible"
"No refresh token, nothing to revoke","Aucun jeton de raffraichissement, rien à révoquer"
"No refresh token, unable to refresh access token","Aucun jeton de raffraichissement, impossible d\'actualiser le jeton d\'accès"
"Unable to retrieve request token","Impossible de retrouver le jeton de demande"
"Unable to retrieve access token","Impossible de retrouver le jeton d\'accès"
"Unable to proceed without an access token","Impossible de continuer sans un jeton d\'accès"
"You have successfully disconnected your Facebook account from our store account.","Vous avez déconnecté avec succès votre compte Facebook de notre boutique en ligne."
"Facebook Connect process aborted.","Le processus de connexion à Facebook a été annulé."
"Sorry, "%s" error occured. Please try again.","Désolé, une erreur "%s" est survenue. Merci de réessayer à nouveau."
"Your Facebook account is already connected to one of our store accounts.","Votre compte Facebook est déjà connecté à notre boutique en ligne."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Votre compte Facebook est maintenant connecté à notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Facebook Connect" ou en utilisant les informations d\'identification de compte de notre boutique en ligne que vous recevrez à votre adresse e-mail."
"You have successfully logged in using your Facebook account.","Vous vous êtes connecté avec succès en utilisant votre compte Facebook."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Nous avons identifié que vous possédiez déjà un compte sur notre boutique en ligne. Votre compte Facebook est maintenant relié à votre compte sur notre boutique en ligne."
"Sorry, could not retrieve your Facebook first name. Please try again.","Désolé, nous n\'avons pas pu récupérer votre prénom Facebook. Merci de réessayer à nouveau."
"Sorry, could not retrieve your Facebook last name. Please try again.","Désolé, nous n\'avons pas pu récupérer votre nom de famille Facebook. Merci de réessayer à nouveau."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Votre compte Facebook est maintenant connecté à votre nouveau compte sur notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Facebook Connect" ou en utilisant les informations d\'identification de compte de notre boutique en ligne que vous recevrez à votre adresse e-mail."
"You have successfully disconnected your Google account from our store account.","Vous avez déconnecté avec succès votre compte Google de notre boutique en ligne."
"Google Connect process aborted.","Le processus de connexion à Google a été annulé."
"Your Google account is already connected to one of our store accounts.","Votre compte Google est déjà connecté à notre boutique en ligne."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Votre compte Google est maintenant connecté à notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Google Connect" ou en utilisant les informations d\'identification de compte de notre boutique en ligne que vous recevrez à votre adresse e-mail."
"You have successfully logged in using your Google account.","Vous vous êtes connecté avec succès en utilisant votre compte Google."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Nous avons identifié que vous possédiez déjà un compte sur notre boutique en ligne. Votre compte Google est maintenant relié à votre compte sur notre boutique en ligne."
"Sorry, could not retrieve your Google first name. Please try again.","Désolé, nous n\'avons pas pu récupérer votre prénom Google. Merci de réessayer à nouveau."
"Sorry, could not retrieve your Google last name. Please try again.","Désolé, nous n\'avons pas pu récupérer votre nom de famille Google. Merci de réessayer à nouveau."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Votre compte Google est maintenant connecté à votre nouveau compte sur notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Google Connect" ou en utilisant les informations d\'identification de compte de notre boutique en ligne que vous recevrez à votre adresse e-mail."
"You have successfully disconnected your Twitter account from our store account.","Vous avez déconnecté avec succès votre compte Twitter de notre boutique en ligne."
"Twitter Connect process aborted.","Le processus de connexion à Twitter a été annulé."
"Your Twitter account is already connected to one of our store accounts.","Votre compte Twitter est déjà connecté à notre boutique en ligne."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Votre compte Twitter est maintenant connecté à notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Twitter Connect" ou en utilisant les informations d\'identification de compte de notre boutique en ligne que vous recevrez à votre adresse e-mail."
"You have successfully logged in using your Twitter account.","Vous vous êtes connecté avec succès en utilisant votre compte Twitter."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Nous avons identifié que vous possédiez déjà un compte sur notre boutique en ligne. Votre compte Twitter est maintenant relié à votre compte sur notre boutique en ligne."
"Sorry, could not retrieve your Twitter last name. Please try again.","Désolé, nous n\'avons pas pu récupérer votre nom de famille Twitter. Merci de réessayer à nouveau."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Votre compte Twitter est maintenant connecté à votre nouveau compte sur notre boutique en ligne. Vous pouvez dorénavant vous identifier avec notre bouton "Twitter Connect"."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Comme Twitter ne supporte pas les accès par des tierces parties à votre adresse e-mail, nous ne pouvons pas vous envoyer vos informations d\'identification. Pour pouvoir vous connecter en utilisant vos informations d\'identification, vous devrez mettre à jour votre adresse e-mail et votre mot de passe en utilisant notre <a href="%s">Modication d\'information de compte</a>."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Mon compte Google"
"Customer My Account Facebook Connect","Mon compte Facebook"
"Customer My Account Twitter Connect","Mon compte Twitter"
"Connected as %s","Connecté en tant que %s"
"Email: %s","Email : %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Genre : %s"
"Birthday: %s","Anniversaire : %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Vous pouvez lier votre compte sur notre boutique en ligne avec votre compte Facebook pour que vous puissiez vous connecter plus facilement à l\'avenir."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Vous pouvez lier votre compte sur notre boutique en ligne avec votre compte Google pour que vous puissiez vous connecter plus facilement à l\'avenir."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Vous pouvez lier votre compte sur notre boutique en ligne avec votre compte Twitter pour que vous puissiez vous connecter plus facilement à l\'avenir."
"You can continue with checkout using your <strong>Google</strong> account.","Vous pouvez poursuivre votre commande en utilisant votre compte <strong>Google</strong>."
"You can continue with checkout using your <strong>Facebook</strong> account.","Vous pouvez poursuivre votre commande en utilisant votre compte <strong>Facebook</strong>."
"You can continue with checkout using your <strong>Twitter</strong> account.","Vous pouvez poursuivre votre commande en utilisant votre compte <strong>Twitter</strong>."
"You can login using your Google account.","Vous pouvez vous connecter en utilisant votre compte Google."
"You can login using your Facebook account.","Vous pouvez vous connecter en utilisant votre compte Facebook."
"You can login using your Twitter account.","Vous pouvez vous connecter en utilisant votre compte Twitter."
"You can register using your Google account.","Vous pouvez vous inscrire en utilisant votre compte Google."
"You can register using your Facebook account.","Vous pouvez vous inscrire en utilisant votre compte Facebook."
"You can register using your Twitter account.","Vous pouvez vous inscrire en utilisant votre compte Twitter."