"Continue","Verder"
"Connect","Verbinden"
"Disconnect","Loskoppelen"
"Login","Inloggen"
"Register","Registreren"
"Unable to retrieve access code","Kon toegangscode niet opvragen"
"Required HTTP method is not supported","De nodige HTTP methode is niet beschikbaar"
"Unspecified OAuth error occurred","Een OAuth fout heeft zich voorgedaan"
"HTTP error %d occurred while issuing request","HTTP fout %d deed zich voor"
"No access token available","Geen access token beschikbaar"
"No refresh token, nothing to revoke","Geen refresh token, niets om te ontkoppelen"
"No refresh token, unable to refresh access token","Geen refresh token, kon niet vernieuwen"
"Unable to retrieve request token","Kon geen request token opvragen"
"Unable to retrieve access token","Kon geen access token opvragen"
"Unable to proceed without an access token","Kan niet verder gaan zonder een access token"
"You have successfully disconnected your Facebook account from our store account.","U heeft uw Facebook account losgekoppeld van uw account."
"Facebook Connect process aborted.","Facebook Connect proces geannuleerd."
"Sorry, "%s" error occured. Please try again.","Sorry, "%s" fout deed zich voor. Probeer opnieuw aub."
"Your Facebook account is already connected to one of our store accounts.","Uw Facebook account is al gelinkt met een ander account in onze winkel."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Uw Facebook account is nu geconnecteerd. U kan nu inloggen met de Facebook Connect knop of met uw emailgegevens."
"You have successfully logged in using your Facebook account.","U bent ingelogd met uw Facebook account."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","We ontdekten dat u reeds een account had. Uw Facebook account is nu met uw account verbonden."
"Sorry, could not retrieve your Facebook first name. Please try again.","Sorry, we konden uw voornaam niet vinden via uw Facebook account. Probeer opnieuw."
"Sorry, could not retrieve your Facebook last name. Please try again.","Sorry, we konden uw achternaam niet vinden via uw Facebook account. Probeer opnieuw."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Er is een nieuw account aangemaakt met je Facebook gegevens. U kan nu inloggen met de Facebook Connect knop of met uw emailgegevens."
"You have successfully disconnected your Google account from our store account.","Uw Google account is losgekoppeld."
"Google Connect process aborted.","Google Connect proces geannuleerd."
"Your Google account is already connected to one of our store accounts.","Uw Google account is reeds verbonden met een account."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Uw Google account is nu verbonden met uw account. U kan nu inloggen met de Google Connect knop of met uw emailgegevens."
"You have successfully logged in using your Google account.","U bent ingelogd met uw Google account."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","We ontdekten dat u reeds een account had. Uw Google account is nu verbonden met uw account."
"Sorry, could not retrieve your Google first name. Please try again.","Sorry, we konden uw voornaam niet vinden via uw Google account. Probeer opnieuw."
"Sorry, could not retrieve your Google last name. Please try again.","Sorry, we konden uw achternaam niet vinden via uw Google account. Probeer opnieuw."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Uw Google account is nu geconnecteerd. U kan nu inloggen met de Google Connect knop of met de gegevens verstuurd naar uw emailadres."
"You have successfully disconnected your Twitter account from our store account.","U heeft uw Twitter account losgekoppeld van uw account."
"Twitter Connect process aborted.","Twitter Connect proces geannuleerd."
"Your Twitter account is already connected to one of our store accounts.","Uw Twitter account is reeds verbonden met een account."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Uw Twitter account is nu geconnecteerd. U kan nu inloggen met de Twitter Connect knop of met uw emailgegevens."
"You have successfully logged in using your Twitter account.","U bent ingelogd met uw Twitter account."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We ontdekten dat u reeds een account had. Uw Twitter account is nu verbonden met uw account."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, we konden uw voornaam niet vinden via uw Twitter account. Probeer opnieuw."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Uw Twitter account is nu geconnecteerd. U kan nu inloggen met de Twitter Connect knop of met de gegevens verstuurd naar uw emailadres."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Omdat Twitter geen third-party toegang ondersteund tot profielgegevens, konden we uw profiel niet volledig invullen. Om gebruik te kunnen mkaen van de Google Connect optie om in te loggen moet u uw <a href="%s">account gegevens</a> verder aanvullen."
"Google Connect","Google Connect"
"Facebook Connect","Facebook Connect"
"Twitter Connect","Twitter Connect"
"Customer My Account Google Connect","Klant Mijn Account Google Connect"
"Customer My Account Facebook Connect","Klant Mijn Account Facebook Connect"
"Customer My Account Twitter Connect","Klant Mijn Account Twitter Connect"
"Connected as %s","Verbonden als %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Geslacht: %s"
"Birthday: %s","Geboortedatum: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","U kan uw account verbinden met uw Facebook account om eenvoudiger in te loggen in de toekomst."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","U kan uw account verbinden met uw Google account om eenvoudiger in te loggen in de toekomst."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","U kan uw account verbinden met uw Twitter account om eenvoudiger in te loggen in de toekomst."
"You can continue with checkout using your <strong>Google</strong> account.","U kan eenvoudig verder betalen met uw <strong>Google</strong> account."
"You can continue with checkout using your <strong>Facebook</strong> account.","U kan eenvoudig verder betalen met uw <strong>Facebook</strong> account."
"You can continue with checkout using your <strong>Twitter</strong> account.","U kan eenvoudig verder betalen met uw <strong>Twitter</strong> account."
"You can login using your Google account.","U kan inloggen met uw Google account."
"You can login using your Facebook account.","U kan inloggen met uw Facebook account."
"You can login using your Twitter account.","U kan inloggen met uw Twitter account."
"You can register using your Google account.","U kan registreren met uw Google account."
"You can register using your Facebook account.","U kan registreren met uw Facebook account."
"You can register using your Twitter account.","U kan registreren met uw Twitter account."
